City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
0,Fare,PF,80.87,-16.7,-151.0167,light rain,Maitai Lapita Village Huahine
1,Hilo,US,80.33,19.7297,-155.09,light rain,Hilo Hawaiian Hotel
2,Carnarvon,AU,75.27,-24.8667,113.6333,overcast clouds,Hospitality Carnarvon
3,Souillac,MU,77.38,-20.5167,57.5167,light rain,Shanti Maurice Resort & Spa
4,Hobart,AU,70.02,-42.8794,147.3294,broken clouds,Mantra on Collins Hobart
9,Avarua,CK,73.45,-21.2078,-159.775,heavy intensity rain,Paradise Inn
11,Port Blair,IN,80.53,11.6667,92.75,broken clouds,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
14,Kapaa,US,82.38,22.0752,-159.319,moderate rain,Sheraton Kauai Coconut Beach Resort
17,Rikitea,PF,76.28,-23.1203,-134.9692,clear sky,People ThankYou
20,Samarai,PG,85.96,-10.6167,150.6667,overcast clouds,Nuli Sapi
21,Caraballeda,VE,80.67,10.6112,-66.8522,scattered clouds,Hotel 15 Letras
25,Launceston,AU,71.62,-41.45,147.1667,few clouds,Hotel Grand Chancellor Launceston
35,Cayenne,GF,76.08,4.9333,-52.3333,light rain,Hôtel Le Dronmi
37,San Patricio,US,73.81,28.017,-97.5169,clear sky,"Motel 6 Sinton, TX"
38,Cabo San Lucas,MX,81.7,22.8909,-109.9124,clear sky,Hotel Tesoro Los Cabos
45,Arraial Do Cabo,BR,72.52,-22.9661,-42.0278,overcast clouds,Pousada Porto Praia
51,Saint-Philippe,RE,76.55,-21.3585,55.7679,light rain,"Chambres d'hôte ""La Trinité"""
52,Georgetown,MY,78.89,5.4112,100.3354,light rain,Cititel Penang
57,Hambantota,LK,75.54,6.1241,81.1185,scattered clouds,Bungalow 63
58,Jacareacanga,BR,73.9,-6.2222,-57.7528,overcast clouds,Casa do Ian😎
60,Namibe,AO,71.17,-15.1961,12.1522,clear sky,Hotel Chik Chik Namibe
65,Airai,TL,77.72,-8.9266,125.4092,overcast clouds,Juvinal Martin
69,Butaritari,KI,81.93,3.0707,172.7902,few clouds,Isles Sunset Lodge
72,Kieta,PG,85.69,-6.2167,155.6333,light rain,Uruna Bay Retreat
74,Broken Hill,AU,71.31,-31.95,141.4333,clear sky,Royal Exchange Hotel
79,Atuona,PF,78.87,-9.8,-139.0333,overcast clouds,Villa Enata
82,Mahebourg,MU,77.29,-20.4081,57.7,light rain,Shandrani Beachcomber Resort & Spa
84,Vaini,TO,82.56,-21.2,-175.2,scattered clouds,Keleti Beach Resort
85,Mettur,IN,74.46,11.8,77.8,overcast clouds,Hotel Akash Residency
87,Makakilo City,US,82.15,21.3469,-158.0858,clear sky,Marriott's Ko Olina Beach Club
89,Mangaluru,IN,76.06,12.8667,74.8833,mist,Goldfinch Hotel Mangaluru
94,Bani,DO,77.86,18.2833,-70.3333,few clouds,Hospedaje Henriquez
95,Valle Nacional,MX,70.66,17.7833,-96.3167,overcast clouds,Cabaña San Mateo Yetla
98,Sabang,ID,80.71,5.8933,95.3214,overcast clouds,Hotel Citra
105,Port-Gentil,GA,80.47,-0.7193,8.7815,light rain,Fengshui Residence
115,Flinders,AU,78.19,-34.5833,150.8552,few clouds,Shellharbour Resort & Conference Centre
117,Tabou,CI,79.14,4.423,-7.3528,broken clouds,hotêl doufoulougou
121,Mahajanga,MG,73.42,-15.7167,46.3167,few clouds,Restaurant Greedy Coco Lodge Majunga
129,Pulivendla,IN,71.47,14.4167,78.2333,scattered clouds,Kothabalaji
133,Bambous Virieux,MU,77.25,-20.3428,57.7575,light rain,Casa Tia Villa
142,Itupiranga,BR,75.51,-5.1347,-49.3267,overcast clouds,Hotel Panorama
144,Hithadhoo,MV,81.81,-0.6,73.0833,scattered clouds,Scoop Guest House
146,Noumea,NC,84.99,-22.2763,166.4572,overcast clouds,Hôtel Le Lagon
148,Vila Velha,BR,76.95,-20.3297,-40.2925,broken clouds,Quality Suites Vila Velha
151,Bengkulu,ID,81.59,-3.8004,102.2655,broken clouds,Grage Hotel Bengkulu
156,Gambela,ET,77.13,8.25,34.5833,scattered clouds,Solomon Debebe Hotel
160,Savannah Bight,HN,77.0,16.45,-85.85,scattered clouds,Villa on Dunbar Rock
161,Luanda,AO,78.1,-8.8368,13.2343,overcast clouds,Hotel Fórum
164,Alta Floresta,BR,71.76,-9.8756,-56.0861,overcast clouds,Floresta Amazonica Hotel
171,Bindura,ZW,70.02,-17.3019,31.3306,clear sky,Mayfair Lodges and Restaurant
172,Banjar,ID,84.06,-8.19,114.9675,light rain,The Hamsa Resort
173,Hat Yai,TH,75.38,7.0084,100.4767,broken clouds,New Season Hotel
175,Ulladulla,AU,74.77,-35.35,150.4667,overcast clouds,Sandpiper Motel
176,Acapulco,MX,82.22,16.8634,-99.8901,clear sky,HS Hotsson Smart Acapulco
179,Libreville,GA,77.02,0.3925,9.4537,thunderstorm,Le Méridien Re-Ndama
182,Salinopolis,BR,79.23,-0.6136,-47.3561,few clouds,Salinas Park Resort Maçarico AP101
187,Sorong,ID,79.52,-0.8833,131.25,moderate rain,Waigo Splash Hotel
