City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Fare,PF,2021-12-03 01:36:44,-16.7,-151.0167,80.87,74,49,21.61,light rain
1,Hilo,US,2021-12-03 01:32:44,19.7297,-155.09,80.33,82,75,10.36,light rain
2,Carnarvon,AU,2021-12-03 01:36:45,-24.8667,113.6333,75.27,69,90,21.85,overcast clouds
3,Souillac,MU,2021-12-03 01:36:45,-20.5167,57.5167,77.38,88,75,6.91,light rain
4,Hobart,AU,2021-12-03 01:31:16,-42.8794,147.3294,70.02,44,75,1.01,broken clouds
5,Punta Arenas,CL,2021-12-03 01:32:52,-53.15,-70.9167,48.31,61,75,23.02,broken clouds
6,Kruisfontein,ZA,2021-12-03 01:36:13,-34.0033,24.7314,56.88,87,68,7.94,light rain
7,Ushuaia,AR,2021-12-03 01:36:13,-54.8,-68.3,46.06,66,20,24.16,few clouds
8,Saskylakh,RU,2021-12-03 01:31:17,71.9167,114.0833,-44.27,100,59,5.37,broken clouds
9,Avarua,CK,2021-12-03 01:28:47,-21.2078,-159.775,73.45,94,75,14.97,heavy intensity rain
10,Atbasar,KZ,2021-12-03 01:31:18,51.8,68.3333,30.33,93,100,13.44,overcast clouds
11,Port Blair,IN,2021-12-03 01:31:18,11.6667,92.75,80.53,81,69,12.68,broken clouds
12,Bluff,NZ,2021-12-03 01:31:19,-46.6,168.3333,60.46,79,46,7.36,scattered clouds
13,Krasnoselkup,RU,2021-12-03 01:31:19,65.7,82.4667,31.93,99,100,10.58,light snow
14,Kapaa,US,2021-12-03 01:35:14,22.0752,-159.319,82.38,100,90,8.05,moderate rain
15,Lamesa,US,2021-12-03 01:36:16,32.7376,-101.951,65.08,33,6,8.52,clear sky
16,Qaqortoq,GL,2021-12-03 01:36:16,60.7167,-46.0333,7.11,83,6,5.68,clear sky
17,Rikitea,PF,2021-12-03 01:36:17,-23.1203,-134.9692,76.28,75,7,15.3,clear sky
18,Severo-Yeniseyskiy,RU,2021-12-03 01:36:17,60.3725,93.0408,23.2,79,100,16.22,overcast clouds
19,Koszeg,HU,2021-12-03 01:36:18,47.3892,16.541,37.33,86,100,8.01,overcast clouds
20,Samarai,PG,2021-12-03 01:36:19,-10.6167,150.6667,85.96,68,94,1.3,overcast clouds
21,Caraballeda,VE,2021-12-03 01:36:19,10.6112,-66.8522,80.67,78,40,5.75,scattered clouds
22,Kaitangata,NZ,2021-12-03 01:36:19,-46.2817,169.8464,61.84,87,93,5.23,overcast clouds
23,Mar Del Plata,AR,2021-12-03 01:36:20,-38.0023,-57.5575,63.88,82,10,24.0,clear sky
24,Awjilah,LY,2021-12-03 01:36:20,29.1081,21.2869,58.28,53,100,11.27,overcast clouds
25,Launceston,AU,2021-12-03 01:34:05,-41.45,147.1667,71.62,49,21,1.99,few clouds
