City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Sur,OM,2021-12-05 19:29:53,22.5667,59.5289,74.17,69,0,6.55
1,Tasiilaq,GL,2021-12-05 19:28:53,65.6145,-37.6368,30.27,83,97,35.5
2,Hilo,US,2021-12-05 19:30:43,19.7297,-155.09,77.29,96,90,4.61
3,Esso,RU,2021-12-05 19:33:02,55.9333,158.7,2.05,89,79,6.93
4,Cape Town,ZA,2021-12-05 19:29:01,-33.9258,18.4232,63.12,90,90,3.0
5,Hasaki,JP,2021-12-05 19:28:47,35.7333,140.8333,45.28,63,100,10.27
6,Kirkwood,US,2021-12-05 19:33:03,38.5834,-90.4068,60.78,83,90,5.01
7,Mastic Beach,US,2021-12-05 19:33:04,40.7668,-72.8521,49.12,44,1,1.01
8,Qaanaaq,GL,2021-12-05 19:26:57,77.484,-69.3632,19.45,73,100,6.29
9,Nikolskoye,RU,2021-12-05 19:24:29,59.7035,30.7861,3.02,96,13,5.28
10,Chipinge,ZW,2021-12-05 19:33:04,-20.1883,32.6236,68.54,80,49,9.44
11,Mar Del Plata,AR,2021-12-05 19:24:24,-38.0023,-57.5575,68.02,85,20,11.99
12,Saint George,US,2021-12-05 19:28:23,37.1041,-113.5841,69.53,37,1,0.0
13,Vardo,NO,2021-12-05 19:33:06,70.3705,31.1107,12.18,73,75,27.63
14,Albany,US,2021-12-05 19:25:40,42.6001,-73.9662,43.16,50,94,0.65
15,Chhatarpur,IN,2021-12-05 19:33:06,24.9,79.6,62.64,62,4,4.23
16,Port Alfred,ZA,2021-12-05 19:25:01,-33.5906,26.891,69.4,95,100,9.84
17,Cabo San Lucas,MX,2021-12-05 19:22:40,22.8909,-109.9124,84.51,63,40,8.05
18,Lethem,GY,2021-12-05 19:33:08,3.3803,-59.7968,90.0,47,100,11.16
19,Kruisfontein,ZA,2021-12-05 19:32:41,-34.0033,24.7314,67.89,85,97,7.63
20,Puerto Ayora,EC,2021-12-05 19:23:35,-0.7393,-90.3518,76.96,82,67,9.71
21,Half Moon Bay,US,2021-12-05 19:30:05,37.4636,-122.4286,66.61,85,1,1.99
22,Khatanga,RU,2021-12-05 19:33:09,71.9667,102.5,-15.14,96,100,10.4
23,Punta Arenas,CL,2021-12-05 19:22:39,-53.15,-70.9167,57.31,35,40,28.77
24,Hirara,JP,2021-12-05 19:33:10,24.8,125.2833,70.29,68,47,18.28
25,Atuona,PF,2021-12-05 19:24:59,-9.8,-139.0333,78.48,75,8,21.05
26,Mataura,NZ,2021-12-05 19:32:38,-46.1927,168.8643,48.47,88,99,3.22
27,Hofn,IS,2021-12-05 19:33:11,64.2539,-15.2082,42.44,78,100,30.06
28,Sao Filipe,CV,2021-12-05 19:28:16,14.8961,-24.4956,76.37,71,44,12.35
29,Kapaa,US,2021-12-05 19:26:50,22.0752,-159.319,73.72,74,20,1.01
30,Perth,AU,2021-12-05 19:29:33,-31.9333,115.8333,66.38,64,0,9.22
31,Krasnohrad,UA,2021-12-05 19:33:12,49.3814,35.4402,30.34,77,100,5.37
32,Bluff,NZ,2021-12-05 19:32:37,-46.6,168.3333,48.79,50,89,11.52
33,Busselton,AU,2021-12-05 19:24:23,-33.65,115.3333,61.05,83,29,15.75
34,Castro,BR,2021-12-05 19:33:13,-24.7911,-50.0119,68.41,76,92,9.93
